CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Vol de véhicule à moteur,2018-09-13,jour,30,294904.159,5047548.921,-73.62677805,45.56777981
Vol de véhicule à moteur,2018-04-30,jour,30,294904.159,5047548.921,-73.62677805,45.56777981
Vol de véhicule à moteur,2018-09-01,nuit,7,290274.565,5042150.474,-73.68592845,45.51912165
Méfait,2017-07-21,jour,21,0,0,1,1
Méfait,2017-07-29,jour,12,0,0,1,1
Vol de véhicule à moteur,2017-07-30,nuit,21,0,0,1,1
Méfait,2017-07-30,jour,38,297654.715,5041877.073,-73.59145727,45.51677617
Vols qualifiés,2017-07-30,jour,21,0,0,1,1
Vol dans / sur véhicule à moteur,2017-08-01,jour,39,294259.781,5051450,-73.6351175,45.60287333
Méfait,2017-08-01,jour,21,0,0,1,1
Vol de véhicule à moteur,2017-08-01,jour,5,285957.556,5033790.677,-73.74086584,45.44379367
Introduction,2018-08-28,soir,7,290274.565,5042150.474,-73.68592845,45.51912165
Introduction,2018-01-10,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Méfait,2018-11-12,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Méfait,2018-08-15,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-01-11,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Vol dans / sur véhicule à moteur,2017-08-02,soir,31,0,0,1,1
Vols qualifiés,2017-08-02,soir,21,300149.764,5041903.012,-73.55952174,45.51703069
Introduction,2017-08-03,jour,22,300495.603,5042438.087,-73.5550998,45.52184773
Introduction,2017-08-04,jour,48,302206.204,5050672.094,-73.53324638,45.59594859
Méfait,2017-08-04,nuit,21,0,0,1,1
Vols qualifiés,2017-08-21,nuit,48,0,0,1,1
Méfait,2017-08-21,soir,31,0,0,1,1
Vol de véhicule à moteur,2017-08-22,nuit,21,0,0,1,1
Introduction,2017-08-22,soir,39,294834.485,5050681.073,-73.62773455,45.59596281
Vol dans / sur véhicule à moteur,2017-08-23,nuit,21,0,0,1,1
Vols qualifiés,2017-08-23,nuit,21,0,0,1,1
Méfait,2017-08-23,jour,12,298266.06,5038914.047,-73.58359279,45.49011962
Introduction,2018-01-10,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-01-10,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-01-08,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-09-14,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Méfait,2018-10-16,jour,8,292010.969,5032898,-73.66346133,45.43589788
Vol dans / sur véhicule à moteur,2018-09-05,jour,38,297929.907,5042565.579,-73.58794455,45.52297439
Vol dans / sur véhicule à moteur,2017-08-25,jour,22,300675.216,5042710.099,-73.55280289,45.52429648
Introduction,2017-08-25,soir,16,301261.624,5036460.927,-73.54525101,45.46806692
Introduction,2017-09-09,soir,39,294259.781,5051450,-73.6351175,45.60287333
Introduction,2017-09-10,soir,35,297269.069,5044288.756,-73.59643047,45.53847335
Introduction,2018-02-17,jour,21,300632,5041020,-73.55334175,45.50908803
Vol dans / sur véhicule à moteur,2018-10-28,jour,21,300632,5041020,-73.55334175,45.50908803
Introduction,2017-09-11,jour,39,293808.438,5049462.5,-73.6408586,45.58498231
Méfait,2017-09-09,jour,38,0,0,1,1
Vol dans / sur véhicule à moteur,2017-09-11,soir,7,290109.1,5042399.839,-73.6880539,45.52136205
Introduction,2017-09-13,nuit,21,300166.671,5041928.882,-73.55930558,45.51726359
Vol dans / sur véhicule à moteur,2017-09-12,jour,31,295933.862,5045137.958,-73.6135426,45.54609906
Méfait,2017-09-13,jour,7,291073.469,5041533.5,-73.6756851,45.51358607
Vol dans / sur véhicule à moteur,2017-09-14,jour,44,299537.391,5048547.431,-73.56743139,45.57681517
Vol de véhicule à moteur,2017-09-15,nuit,27,292211.63,5046759.25,-73.66125224,45.56063063
Introduction,2016-07-29,soir,7,291448.766,5041195.963,-73.67087252,45.51055608
Introduction,2016-07-30,jour,38,299198.427,5040863.067,-73.5716867,45.50766584
Méfait,2016-07-30,soir,33,295536.085,5043174.658,-73.6185995,45.52842741
Méfait,2016-09-04,jour,38,297184.157,5042137.382,-73.59748429,45.51911356
Vol de véhicule à moteur,2016-09-05,soir,7,286683.8435,5042287.047,-73.73189511,45.52026652
Vol de véhicule à moteur,2018-12-31,nuit,9,291612.375,5035291,-73.66862003,45.45742384
Vol dans / sur véhicule à moteur,2018-07-08,jour,5,281251.563,5035832.5,-73.80112027,45.46202409
Introduction,2018-08-17,soir,4,280815.9025,5039045.951,-73.806848,45.490925
Vol dans / sur véhicule à moteur,2018-01-08,jour,27,294163.348,5045419.469,-73.63622242,45.5486074
Introduction,2018-11-12,soir,27,294163.348,5045419.469,-73.63622242,45.5486074
Introduction,2018-12-22,soir,27,294163.348,5045419.469,-73.63622242,45.5486074
Méfait,2018-10-24,jour,27,294163.348,5045419.469,-73.63622242,45.5486074
Vol de véhicule à moteur,2017-08-01,jour,5,282756.531,5038387.5,-73.78199072,45.48506403
Vol dans / sur véhicule à moteur,2017-08-03,jour,45,296483.624,5055233.772,-73.60667414,45.63695075
Vol dans / sur véhicule à moteur,2017-08-03,soir,21,0,0,1,1
Vol dans / sur véhicule à moteur,2017-08-04,jour,5,280103,5036564,-73.8158438,45.46856672
Introduction,2017-08-21,jour,7,284797.844,5039000,-73.75590248,45.49063701
Vol dans / sur véhicule à moteur,2017-08-21,jour,7,284797.844,5039000,-73.75590248,45.49063701
Introduction,2017-08-23,jour,7,285593.476,5039039.189,-73.745725,45.49101199
Introduction,2017-08-23,jour,39,295136.089,5054000.09,-73.62393446,45.62583237
Introduction,2017-08-23,jour,16,298044.531,5033272,-73.58634941,45.43934766
Vol de véhicule à moteur,2017-08-24,jour,27,292364.48,5048228.033,-73.65933166,45.57384992
Introduction,2017-08-24,jour,39,295293.737,5054154.659,-73.62191573,45.62722539
Introduction,2017-08-25,jour,27,292147.722,5047324.817,-73.66208551,45.56571861
Introduction,2017-08-25,jour,5,283286.536,5038196.645,-73.77520235,45.48336318
Vol dans / sur véhicule à moteur,2017-08-25,jour,21,0,0,1,1
Vol dans / sur véhicule à moteur,2017-08-25,jour,5,279054.587,5035900.977,-73.82921674,45.46256276
Introduction,2017-08-25,soir,23,301167.087,5044717.61,-73.54652116,45.54236357
Introduction,2017-08-25,soir,39,294215.5243,5052767.662,-73.63571342,45.6147293
Vols qualifiés,2018-09-14,soir,27,294163.348,5045419.469,-73.63622242,45.5486074
Introduction,2018-06-18,jour,24,295435.804,5041998.158,-73.61986084,45.51783947
Introduction,2018-11-08,soir,24,295435.804,5041998.158,-73.61986084,45.51783947
Vol dans / sur véhicule à moteur,2018-05-15,jour,49,305817.012,5061470.687,-73.48694174,45.69312065
Vol dans / sur véhicule à moteur,2018-02-02,soir,42,298486.8,5048362.937,-73.58089053,45.5751463
Introduction,2018-07-18,soir,42,298486.8,5048362.937,-73.58089053,45.5751463
Introduction,2018-01-11,soir,5,281017.469,5033191,-73.80398594,45.43824692
Vol de véhicule à moteur,2018-02-03,nuit,46,300206.969,5052306.5,-73.55888725,45.61064508
Méfait,2017-08-26,jour,5,282404.781,5037605,-73.78645473,45.47801162
Vol de véhicule à moteur,2017-08-26,soir,5,279357.875,5035896.5,-73.82533831,45.46253358
Vol dans / sur véhicule à moteur,2017-09-09,nuit,7,287244.719,5038838.5,-73.72459227,45.48924961
Introduction,2017-09-09,nuit,38,297681.812,5042182.075,-73.59111486,45.51952098
Méfait,2017-09-09,soir,1,276530.594,5034619,-73.86141772,45.45092953
Méfait,2017-09-10,jour,23,301474.087,5044587.274,-73.542589,45.54119229
Introduction,2017-09-11,jour,5,282109.688,5037403,-73.79021986,45.47618443
Vol dans / sur véhicule à moteur,2017-09-08,soir,5,280570.406,5036988.5,-73.80988728,45.47240289
Introduction,2017-09-11,jour,5,281902.875,5037668.5,-73.79287743,45.47856674
Vol dans / sur véhicule à moteur,2017-09-12,jour,48,302411.882,5051990.611,-73.53061652,45.6078137
Méfait,2017-08-16,nuit,5,282109.688,5037403,-73.79021986,45.47618443
Méfait,2017-08-16,jour,3,277733.688,5038853.5,-73.84626997,45.48908054
Vol dans / sur véhicule à moteur,2017-08-17,nuit,33,294589.972,5043059.521,-73.6307095,45.52737814
Introduction,2018-09-25,jour,46,300206.969,5052306.5,-73.55888725,45.61064508
Introduction,2018-04-21,soir,24,295946.813,5041673.5,-73.61331413,45.51492475
Vols qualifiés,2018-07-05,jour,24,295946.813,5041673.5,-73.61331413,45.51492475
Introduction,2016-09-06,jour,35,0,0,1,1
Vol dans / sur véhicule à moteur,2018-10-24,soir,42,296487.906,5048992,-73.60651286,45.58078579
Introduction,2016-09-09,jour,27,292087.551,5045786.549,-73.66281636,45.55187571
Introduction,2016-09-09,soir,31,295270.495,5045555.567,-73.622046,45.54984808
Introduction,2016-10-12,jour,22,300675.216,5042710.099,-73.55280289,45.52429648
Méfait,2016-10-18,soir,48,303812.316,5049967.11,-73.51265837,45.58960908
Introduction,2016-11-15,soir,21,300117.94,5041852.266,-73.55992859,45.51657384
Introduction,2017-08-20,jour,48,303311.615,5050186.605,-73.51907612,45.59158326
Méfait,2017-08-20,nuit,31,295610.654,5045341.884,-73.61768552,45.54792986
Introduction,2017-09-16,soir,22,300446.504,5042365.087,-73.55572765,45.52119054
Vols qualifiés,2017-09-16,soir,46,301799.197,5051374.59,-73.53846757,45.6022682
Vol dans / sur véhicule à moteur,2017-10-30,soir,27,292579.736,5046971.568,-73.65654227,45.56254769
Vols qualifiés,2017-10-31,jour,21,300166.671,5041928.882,-73.55930558,45.51726359
Méfait,2017-10-31,jour,39,293493.656,5049888.5,-73.64490243,45.58881052
Vol dans / sur véhicule à moteur,2017-10-31,soir,39,295680.719,5053389.5,-73.61693847,45.62034551
Vols qualifiés,2017-11-02,jour,21,300026.312,5041712.579,-73.56110003,45.51531626
Vol dans / sur véhicule à moteur,2015-12-10,soir,46,299675.192,5050910.873,-73.5656905,45.59808314
Vol dans / sur véhicule à moteur,2015-12-11,jour,21,300642.816,5040605.88,-73.55319981,45.50536167
Méfait,2016-03-31,jour,48,302798.907,5051108.096,-73.5256511,45.59987381
Méfait,2016-04-01,jour,46,299675.192,5050910.873,-73.5656905,45.59808314
Méfait,2016-04-01,jour,11,294581.145,5036889.003,-73.63069398,45.47185315
Introduction,2016-04-02,jour,10,289187.444,5043658.926,-73.6998918,45.53267171
Méfait,2016-05-10,soir,8,288320.031,5034213,-73.71068033,45.44765362
Vols qualifiés,2016-05-10,jour,46,299675.192,5050910.873,-73.5656905,45.59808314
Vol de véhicule à moteur,2016-05-11,soir,46,299141.42,5051031.626,-73.57253386,45.59916557
Vol de véhicule à moteur,2016-05-11,soir,46,300159.557,5050702.45,-73.55947987,45.59621109
Vol dans / sur véhicule à moteur,2016-05-12,nuit,42,296869.781,5049623,-73.60162969,45.58646817
Vol de véhicule à moteur,2016-05-12,jour,23,301808.927,5045698.823,-73.5383081,45.55119593
Vol dans / sur véhicule à moteur,2016-05-10,soir,12,298191.362,5038819.818,-73.58454718,45.489271
Introduction,2016-05-13,jour,21,300404.04,5040145.064,-73.55625132,45.50121359
Vols qualifiés,2016-05-13,jour,12,298191.362,5038819.818,-73.58454718,45.489271
Vols qualifiés,2016-05-13,soir,12,0,0,1,1
Introduction,2016-05-15,nuit,7,289632.25,5037753,-73.69401422,45.47953781
Vol de véhicule à moteur,2016-05-16,jour,42,296723.063,5049752,-73.60351208,45.58762726
Méfait,2016-05-16,soir,12,298095.461,5038908.547,-73.5857753,45.49006851
Introduction,2016-05-17,jour,42,296869.781,5049623,-73.60162969,45.58646817
Méfait,2016-05-17,jour,7,288356.542,5039184.696,-73.71037994,45.49239189
Vol de véhicule à moteur,2016-05-17,jour,23,301921.988,5045647.117,-73.53685977,45.55073113
Vol de véhicule à moteur,2016-05-18,nuit,45,299520.702,5056811.618,-73.56773469,45.65117825
Méfait,2016-05-19,soir,15,0,0,1,1
Méfait,2016-06-15,jour,12,298490.123,5038404.134,-73.58071966,45.48553326
Vol dans / sur véhicule à moteur,2016-06-16,soir,12,0,0,1,1
Vol dans / sur véhicule à moteur,2016-06-16,soir,20,0,0,1,1
Vol dans / sur véhicule à moteur,2016-06-17,nuit,48,302476.604,5051243.594,-73.52978321,45.60109206
Méfait,2016-06-17,soir,7,289413.516,5042229.119,-73.69695246,45.51981085
Vol dans / sur véhicule à moteur,2016-06-18,jour,31,0,0,1,1
Vol dans / sur véhicule à moteur,2016-06-19,jour,8,288793.594,5034192,-73.70462564,45.44747566
Méfait,2016-06-20,jour,46,299675.192,5050910.873,-73.5656905,45.59808314
Méfait,2016-06-26,nuit,44,298477.153,5045850.864,-73.58098165,45.55254176
Introduction,2016-06-26,nuit,39,294501.188,5052060,-73.63203573,45.60836588
Méfait,2016-06-16,soir,8,291275.438,5033370,-73.67287535,45.44013133
Introduction,2016-02-11,soir,45,296586.648,5054326.141,-73.60533735,45.62878492
Introduction,2016-05-11,nuit,21,300305.975,5040211.87,-73.55750678,45.50181411
Vol de véhicule à moteur,2016-05-16,jour,46,300968.964,5052666.239,-73.54912054,45.61388672
Vol dans / sur véhicule à moteur,2016-06-21,nuit,20,299817.354,5039377.056,-73.56375083,45.49429878
Vol dans / sur véhicule à moteur,2016-06-26,jour,27,293417.063,5045272.75,-73.64577657,45.54727538
Introduction,2015-12-12,soir,45,297681.102,5055920.099,-73.59132415,45.64313976
Introduction,2015-12-13,jour,46,299675.192,5050910.873,-73.5656905,45.59808314
Méfait,2015-12-14,jour,27,293090.809,5046844.153,-73.64999237,45.56140995
Vols qualifiés,2015-12-14,soir,27,292373.913,5045342.964,-73.65913749,45.54788936
Méfait,2015-12-14,soir,27,292660.309,5045747.043,-73.65547974,45.55153044
Vol de véhicule à moteur,2017-02-08,soir,30,295506.26,5047473.554,-73.61906297,45.56710994
Méfait,2017-02-21,jour,44,298015.279,5046049.512,-73.58689998,45.55432492
Méfait,2017-02-21,jour,44,298015.279,5046049.512,-73.58689998,45.55432492
Méfait,2017-04-02,jour,30,296646.592,5046740.024,-73.60444186,45.56052369
Méfait,2017-04-13,jour,30,295969.415,5047181.915,-73.61312419,45.56449171
Introduction,2017-04-25,jour,44,298625.894,5045784.985,-73.57907578,45.5519503
Méfait,2015-12-16,jour,27,292660.309,5045747.043,-73.65547974,45.55153044
Vol de véhicule à moteur,2017-02-09,jour,46,299141.42,5051031.626,-73.57253386,45.59916557
Vol de véhicule à moteur,2017-02-09,jour,39,294349.625,5052266.5,-73.63398326,45.61022176
Introduction,2017-02-10,jour,15,298188.317,5034752.15,-73.5845314,45.45266818
Introduction,2017-02-10,jour,46,299675.192,5050910.873,-73.5656905,45.59808314
Vol de véhicule à moteur,2017-02-10,jour,8,290844.62,5034267.939,-73.67840765,45.44820295
Vols qualifiés,2017-02-10,soir,46,299675.192,5050910.873,-73.5656905,45.59808314
Vol de véhicule à moteur,2017-02-12,nuit,21,300888.757,5041237.501,-73.55005753,45.51104668
Méfait,2017-02-13,soir,27,0,0,1,1
Vol dans / sur véhicule à moteur,2017-02-12,soir,3,271614.927,5037778.011,-73.92447504,45.47913895
Introduction,2017-02-15,jour,46,299141.42,5051031.626,-73.57253386,45.59916557
Vols qualifiés,2017-02-15,soir,12,298191.362,5038819.818,-73.58454718,45.489271
Méfait,2017-02-18,soir,12,298245.098,5038753.66,-73.58385883,45.48867619
Introduction,2017-02-20,jour,7,289941.883,5042653.716,-73.69020208,45.52364298
Vol de véhicule à moteur,2017-02-21,soir,42,296661.906,5049790.5,-73.6042965,45.58797298
Vol dans / sur véhicule à moteur,2017-02-21,soir,21,300740.728,5040849.072,-73.55194884,45.50755059
Vol de véhicule à moteur,2017-02-21,soir,12,0,0,1,1
Vol de véhicule à moteur,2017-02-24,nuit,15,298100.949,5034904.95,-73.5856505,45.45404232
Méfait,2017-02-26,nuit,12,298191.362,5038819.818,-73.58454718,45.489271
Introduction,2017-02-26,jour,4,0,0,1,1
Vol dans / sur véhicule à moteur,2017-02-26,soir,15,298539.508,5038325.416,-73.5800869,45.48482536
Vol de véhicule à moteur,2017-02-28,nuit,11,295165.984,5036516.435,-73.6232069,45.46850892
Méfait,2017-03-02,jour,39,0,0,1,1
Vol dans / sur véhicule à moteur,2017-03-02,nuit,46,0,0,1,1
Vols qualifiés,2017-03-06,jour,31,0,0,1,1
Vol dans / sur véhicule à moteur,2017-03-06,jour,23,301808.927,5045698.823,-73.5383081,45.55119593
Introduction,2017-04-03,soir,8,288160.875,5034219.5,-73.71271519,45.44770834
Vol de véhicule à moteur,2017-04-06,nuit,26,0,0,1,1
Vol dans / sur véhicule à moteur,2017-04-06,jour,15,298188.317,5034752.15,-73.5845314,45.45266818
Vol dans / sur véhicule à moteur,2017-04-06,jour,46,299675.192,5050910.873,-73.5656905,45.59808314
Méfait,2017-04-06,soir,12,0,0,1,1
Méfait,2017-04-08,nuit,22,301053.605,5041557.162,-73.54795018,45.51392403
Méfait,2017-04-07,nuit,12,0,0,1,1
Vol dans / sur véhicule à moteur,2017-04-08,soir,48,303121.861,5050970.635,-73.52151083,45.59863776
Vol dans / sur véhicule à moteur,2017-04-09,soir,46,299675.192,5050910.873,-73.5656905,45.59808314
Introduction,2017-04-11,jour,12,298191.362,5038819.818,-73.58454718,45.489271
Méfait,2017-04-11,soir,46,298281.656,5053189.5,-73.58358347,45.61857514
Introduction,2017-04-12,jour,11,295562.18,5036263.433,-73.61813531,45.46623765
Introduction,2015-03-14,soir,44,298158.386,5045330.094,-73.58505728,45.54785273
Vol dans / sur véhicule à moteur,2015-03-20,jour,7,289317.1384,5037884.733,-73.69804901,45.48071628
Introduction,2015-01-04,nuit,22,300910.192,5043374.598,-73.54980016,45.53027726
Vol dans / sur véhicule à moteur,2015-01-06,soir,7,289959.031,5038612.5,-73.68986029,45.48727897
Vol de véhicule à moteur,2015-01-15,soir,5,286009.859,5034484.319,-73.74022374,45.45003677
Vol dans / sur véhicule à moteur,2015-01-16,nuit,26,294021.501,5038487.543,-73.63788661,45.48622911
Vol de véhicule à moteur,2015-01-29,soir,8,287386.553,5035839.13,-73.72267142,45.46226361
Vol de véhicule à moteur,2015-01-29,soir,8,287386.553,5035839.13,-73.72267142,45.46226361
Méfait,2015-02-01,jour,26,0,0,1,1
Vol de véhicule à moteur,2015-02-01,jour,7,289317.1384,5037884.733,-73.69804901,45.48071628
Vol de véhicule à moteur,2015-02-01,jour,7,289566.881,5038191.736,-73.69486397,45.48348431
Introduction,2015-02-03,soir,5,285800.406,5033530.5,-73.74286465,45.44144823
Vol de véhicule à moteur,2015-02-06,jour,7,292350.41,5041569.168,-73.65934257,45.513931
Introduction,2015-02-08,jour,44,298996.086,5046690.659,-73.57434524,45.56010304
Vol de véhicule à moteur,2015-02-10,jour,7,292502.0584,5041894.186,-73.65740978,45.51685832
Introduction,2015-02-12,jour,42,297349.938,5049080,-73.59546796,45.5815874
Méfait,2015-02-14,jour,44,298371.083,5045678.095,-73.5823379,45.55098616
Vol de véhicule à moteur,2015-02-17,nuit,7,289317.1384,5037884.733,-73.69804901,45.48071628
Vol de véhicule à moteur,2015-02-17,nuit,7,289932.074,5038532.123,-73.69020271,45.48655513
Vol de véhicule à moteur,2015-02-17,nuit,7,289932.074,5038532.123,-73.69020271,45.48655513
Vol de véhicule à moteur,2015-02-17,nuit,7,289932.074,5038532.123,-73.69020271,45.48655513
Introduction,2015-01-06,nuit,44,298477.153,5045850.864,-73.58098165,45.55254176
Introduction,2015-01-14,nuit,22,301048.191,5043286.097,-73.54803271,45.52948165
Vol de véhicule à moteur,2015-01-17,nuit,39,295384.906,5051118,-73.62068789,45.59990206
Vol dans / sur véhicule à moteur,2015-01-19,soir,5,285051.399,5033587.639,-73.75244112,45.44194163
Vol de véhicule à moteur,2015-02-01,soir,7,289317.1384,5037884.733,-73.69804901,45.48071628
Vol dans / sur véhicule à moteur,2015-02-04,jour,24,0,0,1,1
Vols qualifiés,2015-02-06,jour,44,298158.386,5045330.094,-73.58505728,45.54785273
Vol dans / sur véhicule à moteur,2015-02-11,nuit,46,299849.214,5053826.357,-73.56348946,45.62431867
Vol dans / sur véhicule à moteur,2015-02-11,nuit,46,299849.214,5053826.357,-73.56348946,45.62431867
Vol dans / sur véhicule à moteur,2015-02-15,jour,30,0,0,1,1
Vol de véhicule à moteur,2015-01-01,nuit,5,288453.923,5037011.002,-73.70906169,45.47283441
Vols qualifiés,2015-01-19,nuit,39,293708.25,5050279,-73.64216107,45.5923278
Introduction,2015-01-19,nuit,24,297204.885,5042021.712,-73.59721717,45.51807294
Vol dans / sur véhicule à moteur,2015-01-26,jour,39,293979.75,5049919.5,-73.63867334,45.5890972
Vol dans / sur véhicule à moteur,2015-01-29,soir,24,297204.885,5042021.712,-73.59721717,45.51807294
Vol de véhicule à moteur,2015-01-29,soir,7,289317.1384,5037884.733,-73.69804901,45.48071628
Vol dans / sur véhicule à moteur,2015-01-29,soir,24,0,0,1,1
Vol dans / sur véhicule à moteur,2015-02-01,soir,24,0,0,1,1
Introduction,2015-02-09,jour,8,288427.75,5036935,-73.7093939,45.4721499
Vol de véhicule à moteur,2015-02-09,jour,7,289932.074,5038532.123,-73.69020271,45.48655513
Introduction,2015-02-09,jour,22,300910.192,5043374.598,-73.54980016,45.53027726
Vol de véhicule à moteur,2015-02-10,soir,7,289932.074,5038532.123,-73.69020271,45.48655513
Vol de véhicule à moteur,2015-02-17,jour,8,287386.553,5035839.13,-73.72267142,45.46226361
Vol de véhicule à moteur,2015-02-20,nuit,7,289317.1384,5037884.733,-73.69804901,45.48071628
Introduction,2015-02-24,soir,7,291511.146,5040088.902,-73.67004417,45.50059551
Vol dans / sur véhicule à moteur,2015-02-27,jour,24,0,0,1,1
Introduction,2015-03-09,jour,44,298885.677,5046531.401,-73.5757576,45.55866906
Vol de véhicule à moteur,2015-03-16,nuit,7,289317.1384,5037884.733,-73.69804901,45.48071628
Introduction,2015-03-21,nuit,22,300910.192,5043374.598,-73.54980016,45.53027726
Méfait,2015-03-23,soir,45,0,0,1,1
Vol dans / sur véhicule à moteur,2015-02-15,jour,24,0,0,1,1
Vol de véhicule à moteur,2015-02-18,soir,7,289932.074,5038532.123,-73.69020271,45.48655513
Introduction,2015-02-18,soir,44,298148.686,5045314.093,-73.58518128,45.54770865
Vol de véhicule à moteur,2015-02-19,nuit,7,289932.074,5038532.123,-73.69020271,45.48655513
Introduction,2015-02-19,nuit,45,296445.453,5054614.91,-73.60715315,45.63138164
Vol dans / sur véhicule à moteur,2015-02-25,jour,15,299150.028,5037532.352,-73.57226775,45.47769422
Introduction,2015-03-03,soir,44,298959.293,5046630.359,-73.57481582,45.55956013
Introduction,2015-03-04,nuit,7,289426.921,5038045.241,-73.69664976,45.48216302
Introduction,2015-03-04,nuit,24,0,0,1,1
Vol de véhicule à moteur,2015-03-14,jour,5,286342.5734,5034951.643,-73.7359877,45.45425082
Méfait,2015-03-19,nuit,44,298477.153,5045850.864,-73.58098165,45.55254176
Méfait,2015-03-21,soir,7,289317.1384,5037884.733,-73.69804901,45.48071628
Vol de véhicule à moteur,2015-03-24,soir,7,292272.211,5041392.55,-73.66033893,45.51234032
Introduction,2015-03-26,jour,26,293699.066,5038695.036,-73.64201612,45.48809116
Introduction,2015-02-22,jour,35,297878.664,5044876.897,-73.58863318,45.54377198
Vol de véhicule à moteur,2015-02-22,soir,7,289932.074,5038532.123,-73.69020271,45.48655513
Introduction,2015-02-24,jour,42,296794.781,5048653,-73.60257495,45.57773897
Méfait,2015-02-24,jour,7,0,0,1,1
Vol de véhicule à moteur,2015-03-05,soir,7,289932.074,5038532.123,-73.69020271,45.48655513
Vol de véhicule à moteur,2015-03-05,soir,7,289317.1384,5037884.733,-73.69804901,45.48071628
Méfait,2015-03-19,soir,8,287386.553,5035839.13,-73.72267142,45.46226361
Vols qualifiés,2015-04-23,soir,3,280276.54,5041271.357,-73.81385964,45.51093112
Vol dans / sur véhicule à moteur,2015-04-25,jour,7,289566.881,5038191.736,-73.69486397,45.48348431
Vol dans / sur véhicule à moteur,2015-04-25,soir,22,0,0,1,1
Introduction,2015-03-05,jour,44,299390.818,5047337.518,-73.56929608,45.56592687
Méfait,2015-03-07,jour,26,294636.019,5038094.349,-73.63001712,45.48270019
Vol dans / sur véhicule à moteur,2015-03-07,soir,46,300311.48,5053539.239,-73.55755867,45.62173825
Vol dans / sur véhicule à moteur,2015-03-13,soir,24,0,0,1,1
Vol dans / sur véhicule à moteur,2015-03-20,soir,7,289317.1384,5037884.733,-73.69804901,45.48071628
Vol de véhicule à moteur,2015-03-20,soir,7,289932.074,5038532.123,-73.69020271,45.48655513
Vol de véhicule à moteur,2015-03-20,soir,7,289932.074,5038532.123,-73.69020271,45.48655513
Vol dans / sur véhicule à moteur,2015-03-20,soir,7,289566.881,5038191.736,-73.69486397,45.48348431
Introduction,2015-03-30,jour,15,299495.78,5037831.046,-73.56784853,45.48038472
Vol de véhicule à moteur,2015-03-30,soir,7,289317.1384,5037884.733,-73.69804901,45.48071628
Introduction,2018-01-03,soir,35,297208.788,5043620.022,-73.59719198,45.53245518
Méfait,2018-02-26,jour,35,297208.788,5043620.022,-73.59719198,45.53245518
Vol dans / sur véhicule à moteur,2018-09-03,nuit,5,280884.406,5033503,-73.80570188,45.44104988
Introduction,2017-11-13,jour,49,303799.37,5056344.706,-73.51283737,45.64699625
Vol de véhicule à moteur,2018-06-10,soir,3,277263.125,5040935.5,-73.8524068,45.50779653
Méfait,2018-02-24,jour,27,293058.726,5046770.042,-73.65040156,45.56074254
Introduction,2018-08-20,nuit,27,293058.726,5046770.042,-73.65040156,45.56074254
Introduction,2018-07-05,soir,13,293717.947,5032865.008,-73.64164314,45.43563014
Vol dans / sur véhicule à moteur,2018-08-27,nuit,35,296701.901,5043950.581,-73.60368722,45.53542397
Introduction,2018-06-13,jour,35,296701.901,5043950.581,-73.60368722,45.53542397
Vol de véhicule à moteur,2018-09-28,soir,35,296701.901,5043950.581,-73.60368722,45.53542397
Vols qualifiés,2017-08-01,jour,49,303984.418,5057110.871,-73.51046462,45.65389059
Vol dans / sur véhicule à moteur,2017-08-03,jour,21,299665.904,5042320.084,-73.56571938,45.52078027
Vols qualifiés,2017-08-03,soir,44,300188.39,5044481.619,-73.55905161,45.54023424
Vol dans / sur véhicule à moteur,2017-08-03,soir,23,300278.987,5044726.107,-73.55789378,45.54243483
Méfait,2017-08-03,soir,7,290333,5041785,-73.68516969,45.51583419
Introduction,2017-08-03,soir,22,299948.989,5043751.099,-73.5621099,45.53365913
Vol dans / sur véhicule à moteur,2017-08-20,soir,44,300541.499,5046798.936,-73.55455022,45.56108852
Introduction,2017-08-21,soir,44,300625.834,5047451.759,-73.55347549,45.56696335
Vol de véhicule à moteur,2017-08-22,nuit,48,301755.542,5049999.053,-73.53901861,45.58989055
Vol dans / sur véhicule à moteur,2017-08-21,soir,30,294439.007,5047841.927,-73.63274342,45.5704096
Vol dans / sur véhicule à moteur,2017-08-22,jour,21,299392.216,5041459.574,-73.56921325,45.51303499
Méfait,2017-08-22,soir,20,0,0,1,1
Introduction,2018-11-26,soir,3,277923.25,5040491,-73.84393456,45.50382255
Méfait,2018-03-18,jour,8,291195.719,5033908.5,-73.67390923,45.44497547
Vol de véhicule à moteur,2018-10-15,jour,8,291352.781,5033908,-73.67190143,45.44497401
Vol dans / sur véhicule à moteur,2018-09-19,jour,11,293977.491,5035887.517,-73.63839234,45.46283222
Méfait,2018-03-27,jour,8,291273.875,5033907,-73.67291009,45.44496349
Méfait,2018-11-15,soir,8,291699,5033910.5,-73.66747566,45.44500308
Introduction,2018-09-12,jour,8,291699,5033910.5,-73.66747566,45.44500308
